epoch	val_loss	val_dice_soft	val_dice_crossentropy	loss	dice_soft	dice_crossentropy	lr
1	2.080784559249878	0.29556116461753845	0.4139920175075531	2.223800303141276	0.25872588	1.0880553	1e-05
2	2.071523427963257	0.3133680522441864	0.6395734548568726	2.13239146788915	0.28919554	1.3648821	1e-05
3	2.100172281265259	0.3061852753162384	1.2016503810882568	2.1120021319389344	0.29596022	1.4597079	1e-05
4	2.1297788619995117	0.309116005897522	1.3111391067504883	2.0943274807929995	0.3018348	1.4733696	1e-05
5	2.0418107509613037	0.3115215599536896	1.4026989936828613	2.0881422980626425	0.3038812	1.4243436	1e-05
6	2.004187822341919	0.315367192029953	1.307545781135559	2.078856619199117	0.30695465	1.4311742	1e-05
7	2.062323808670044	0.316212922334671	1.4405336380004883	2.0727229213714597	0.30893096	1.4250326	1e-05
8	2.0997366905212402	0.320075124502182	1.289505124092102	2.063791275024414	0.3119079	1.4479601	1e-05
9	2.009174346923828	0.3213467001914978	1.2105015516281128	2.063144187927246	0.31208768	1.375841	1e-05
10	1.9671213626861572	0.32439178228378296	1.3474081754684448	2.051935082276662	0.31581676	1.3974692	1e-05
11	1.9927210807800293	0.3257186710834503	1.0933748483657837	2.052013339996338	0.3158582	1.3992414	1e-05
12	2.0002524852752686	0.32793906331062317	1.0414316654205322	2.0465140573183693	0.31764263	1.3590267	1e-05
13	1.9908567667007446	0.32436010241508484	1.2696635723114014	2.041809421380361	0.31926167	1.3104943	1e-05
14	1.954145908355713	0.3443387746810913	0.9595724940299988	2.0286078079541525	0.32374644	1.3302699	1e-05
15	1.9634610414505005	0.3307826817035675	1.4394887685775757	2.0205832942326865	0.32645762	1.3119693	1e-05
16	2.071046829223633	0.33626437187194824	1.3267056941986084	2.0187982002894085	0.32701647	1.2801137	1e-05
17	2.0385184288024902	0.3377354145050049	1.103934407234192	2.006665744781494	0.33109692	1.2585707	1e-05
18	1.9456908702850342	0.3393325209617615	1.0737468004226685	2.0009157474835715	0.33297375	1.2811908	1e-05
19	2.067770004272461	0.3424361050128937	1.0432049036026	1.9888223719596863	0.33716998	1.2731026	1e-05
20	2.001250982284546	0.3372681438922882	1.4437766075134277	1.983799753189087	0.3386707	1.2421969	1e-05
